session_id,date,region,channel,experiment_group,pages_visited,time_on_site_min,product_views,purchase_prob,purchase_success,amount_spent,ad_impressions,clicks,days_since_last_purchase,satisfaction_rating
22,2025-03-17,Chile,Marketplace,Control,4,4.92,1,0.11,0,0.0,15,4,94.5,2.6
23,2025-03-06,México,Retail,Discount Test,5,0.71,2,0.16,1,62.88,22,3,48.4,2.7
24,2025-02-24,Chile,Retail,Control,3,0.01,4,0.11,0,0.0,22,2,72.2,2.2
25,2025-03-06,Chile,Online,Control,2,1.7,4,0.1,0,0.0,29,3,46.2,2.3
26,2025-01-29,México,Retail,Discount Test,5,0.23,3,0.16,0,0.0,21,4,6.5,2.6
27,2025-02-02,Chile,Online,UX Test,6,0.93,5,0.14,0,0.0,22,2,83.9,2.2
28,2025-01-21,México,Online,UX Test,5,1.85,4,0.14,1,28.61,20,3,6.2,2.7
29,2025-01-27,Perú,Marketplace,Control,4,7.62,1,0.11,0,0.0,23,2,68.9,2.5
30,2025-02-26,México,Online,UX Test,3,10.57,6,0.14,0,0.0,20,1,25.6,2.7
31,2025-01-09,Chile,Marketplace,Control,9,0.43,7,0.12,0,0.0,27,2,7.4,2.4
32,2025-02-08,México,Retail,Control,4,1.06,3,0.11,0,0.0,22,4,4.5,2.5
33,2025-02-08,México,Retail,Control,3,1.25,2,0.11,0,0.0,22,2,0.1,2.6
34,2025-02-13,Chile,Marketplace,UX Test,7,10.15,5,0.14,0,0.0,20,1,22.2,2.6
35,2025-02-07,Chile,Online,UX Test,5,5.29,4,0.14,1,47.4,21,2,12.9,2.3
36,2025-01-28,Perú,Online,Discount Test,6,7.8,7,0.16,0,0.0,28,3,6.8,2.7
37,2025-02-07,México,Retail,Discount Test,9,3.49,11,0.17,0,0.0,23,2,8.2,2.4
38,2025-03-21,Colombia,Online,Discount Test,2,3.81,1,0.15,0,0.0,27,2,37.1,3.0
39,2025-03-26,Chile,Retail,UX Test,6,3.98,6,0.14,0,0.0,25,5,2.6,2.2
40,2025-02-14,México,Online,Control,1,1.58,2,0.1,0,0.0,20,1,17.0,2.3
41,2025-02-25,Perú,Online,Control,5,0.26,6,0.11,0,0.0,21,3,64.1,2.6
42,2025-01-11,Chile,Online,Discount Test,5,4.96,2,0.16,0,0.0,18,2,17.8,2.6
43,2025-01-29,México,Retail,UX Test,9,5.68,8,0.15,1,39.87,13,3,78.2,2.3
44,2025-02-06,Chile,Online,UX Test,4,2.23,3,0.14,0,0.0,26,1,10.4,2.8
45,2025-03-19,Colombia,Online,Discount Test,6,0.49,7,0.16,0,0.0,22,2,32.9,2.6
46,2025-01-23,México,Retail,UX Test,3,9.09,2,0.14,0,0.0,19,2,26.4,2.7
47,2025-02-12,México,Marketplace,Discount Test,7,1.04,9,0.16,0,0.0,24,2,33.3,2.6
48,2025-03-29,México,Marketplace,Discount Test,7,5.65,7,0.16,0,0.0,27,3,6.9,2.4
49,2025-02-16,México,Online,Control,5,0.26,4,0.11,0,0.0,19,2,48.0,2.5
50,2025-02-24,Perú,Online,Control,6,2.98,5,0.11,0,0.0,16,0,22.5,2.5
51,2025-01-11,Colombia,Online,Control,6,1.76,8,0.11,0,0.0,18,3,61.9,2.4
52,2025-03-15,Colombia,Online,Discount Test,3,2.2,0,0.16,0,0.0,15,1,54.3,2.5
53,2025-02-23,Chile,Retail,Discount Test,7,0.28,2,0.16,0,0.0,14,2,0.2,2.5
54,2025-02-18,Perú,Online,Control,4,0.86,1,0.11,0,0.0,14,2,27.3,2.9
55,2025-01-31,Colombia,Online,UX Test,5,0.2,4,0.14,1,29.64,22,3,10.2,2.8
56,2025-01-28,México,Retail,Control,4,8.59,2,0.11,0,0.0,11,0,61.5,2.5
57,2025-02-07,Perú,Online,Discount Test,12,5.12,13,0.17,0,0.0,13,0,21.8,1.9
58,2025-03-02,México,Retail,Discount Test,6,0.78,8,0.16,0,0.0,24,4,26.5,2.2
59,2025-03-19,Chile,Retail,Discount Test,5,2.49,2,0.16,0,0.0,31,2,30.7,1.9
60,2025-02-15,México,Online,UX Test,4,1.36,1,0.14,0,0.0,25,2,10.6,2.1
61,2025-03-01,Colombia,Online,UX Test,4,1.53,3,0.14,0,0.0,18,3,58.2,3.0
62,2025-02-22,Chile,Marketplace,Control,3,0.63,0,0.11,1,23.86,21,2,55.3,2.7
63,2025-02-25,Colombia,Online,Control,3,3.27,2,0.11,0,0.0,17,4,18.7,2.4
64,2025-03-02,Chile,Online,UX Test,5,3.71,2,0.14,0,0.0,15,1,17.0,2.4
65,2025-03-16,México,Retail,Control,6,3.33,7,0.11,0,0.0,29,3,18.5,2.4
66,2025-01-08,México,Retail,UX Test,5,1.29,8,0.14,0,0.0,15,0,80.1,2.5
67,2025-03-09,Perú,Online,Control,6,6.01,4,0.11,0,0.0,16,0,25.3,2.4
68,2025-01-22,Perú,Marketplace,Control,4,14.65,2,0.11,1,36.01,13,1,18.0,2.6
69,2025-01-18,Perú,Retail,UX Test,7,6.48,4,0.14,0,0.0,21,4,7.5,2.4
70,2025-02-20,México,Retail,Discount Test,4,1.65,7,0.16,0,0.0,19,1,51.0,2.5
71,2025-01-09,México,Marketplace,Discount Test,6,0.46,6,0.16,0,0.0,15,3,23.5,2.4
72,2025-03-20,Chile,Online,Control,4,0.6,5,0.11,0,0.0,25,1,57.3,2.6
73,2025-02-25,México,Retail,Control,3,4.05,0,0.11,0,0.0,25,2,5.8,2.7
74,2025-03-06,Colombia,Online,Control,3,0.94,0,0.11,0,0.0,16,1,27.3,2.8
75,2025-01-02,México,Online,Control,9,2.7,9,0.12,0,0.0,11,0,17.5,2.6
76,2025-02-22,México,Retail,Discount Test,2,1.43,3,0.15,0,0.0,20,2,0.5,2.7
77,2025-02-19,México,Retail,Control,6,3.95,7,0.11,1,57.47,17,3,40.3,2.7
78,2025-01-15,Colombia,Online,Control,6,2.95,4,0.11,0,0.0,15,0,8.7,2.5
79,2025-01-14,Perú,Retail,Control,5,0.06,5,0.11,0,0.0,23,2,61.2,2.3
80,2025-03-03,México,Retail,Control,2,2.54,2,0.1,0,0.0,16,1,38.1,2.9
81,2025-01-29,México,Online,UX Test,4,2.87,4,0.14,0,0.0,15,1,35.8,2.2
82,2025-03-03,México,Retail,Control,5,2.92,4,0.11,0,0.0,17,2,18.6,2.6
83,2025-02-19,Colombia,Retail,Control,0,7.22,0,0.1,0,0.0,20,0,16.8,2.5
84,2025-02-04,México,Online,Control,2,5.27,3,0.1,0,0.0,25,3,31.8,2.3
85,2025-03-24,Perú,Online,UX Test,5,1.29,6,0.14,0,0.0,24,4,62.5,2.5
86,2025-03-16,Colombia,Retail,Control,3,3.59,0,0.11,0,0.0,18,3,97.6,2.5
87,2025-02-01,Perú,Marketplace,UX Test,2,0.7,1,0.13,0,0.0,15,2,43.2,2.9
88,2025-01-04,Perú,Online,Discount Test,4,0.94,1,0.16,0,0.0,15,0,119.8,2.3
89,2025-01-28,México,Online,Control,7,2.85,4,0.11,0,0.0,14,0,30.5,2.9
90,2025-02-05,México,Marketplace,Discount Test,8,7.92,6,0.17,0,0.0,21,3,46.7,2.9
91,2025-03-04,Colombia,Marketplace,Control,4,3.07,2,0.11,0,0.0,20,1,23.5,2.9
92,2025-03-30,Chile,Online,Discount Test,3,0.15,2,0.16,0,0.0,32,5,2.4,2.2
93,2025-02-01,Chile,Retail,Control,5,3.03,0,0.11,0,0.0,24,1,39.6,2.8
94,2025-03-09,Chile,Online,Discount Test,4,0.81,4,0.16,0,0.0,25,3,1.9,2.7
95,2025-02-22,Chile,Online,Discount Test,6,0.47,6,0.16,1,63.84,21,2,17.3,2.8
96,2025-03-03,Perú,Retail,UX Test,6,0.19,9,0.14,1,75.4,27,5,80.3,2.4
97,2025-01-14,Chile,Online,Discount Test,5,3.14,1,0.16,0,0.0,23,3,0.6,2.6
98,2025-02-05,Colombia,Marketplace,Control,4,1.56,2,0.11,0,0.0,19,1,40.8,2.4
99,2025-01-22,Perú,Online,UX Test,3,8.5,3,0.14,0,0.0,30,8,27.1,2.5
100,2025-01-31,México,Online,Control,6,5.25,9,0.11,0,0.0,28,3,33.5,2.7
101,2025-02-15,Chile,Marketplace,UX Test,6,3.81,6,0.14,0,0.0,13,0,41.9,2.4
102,2025-03-01,Chile,Marketplace,Control,2,0.14,3,0.1,0,0.0,15,3,12.9,2.6
103,2025-01-10,Chile,Online,Control,9,3.48,8,0.12,0,0.0,22,4,25.2,3.2
104,2025-01-12,Chile,Online,UX Test,1,7.75,0,0.13,0,0.0,14,1,41.3,2.6
105,2025-01-29,Colombia,Online,UX Test,6,1.19,5,0.14,0,0.0,23,4,2.0,2.3
106,2025-02-28,Colombia,Online,UX Test,5,7.18,7,0.14,0,0.0,21,5,25.0,2.7
107,2025-03-17,Perú,Online,Control,5,2.86,1,0.11,0,0.0,30,6,23.0,2.5
108,2025-02-19,México,Online,UX Test,3,5.44,3,0.14,0,0.0,16,4,57.0,2.6
109,2025-03-18,Chile,Online,Control,4,3.16,5,0.11,0,0.0,26,0,100.8,1.6
110,2025-02-04,México,Online,UX Test,3,2.17,1,0.14,0,0.0,10,1,20.1,2.7
111,2025-01-29,Chile,Retail,Control,2,7.09,1,0.1,0,0.0,18,3,18.3,2.6
112,2025-02-01,Perú,Online,UX Test,7,10.02,8,0.14,0,0.0,25,2,17.2,2.7
113,2025-01-16,Colombia,Marketplace,Discount Test,1,0.32,0,0.15,0,0.0,20,4,71.8,2.8
114,2025-03-15,México,Retail,Discount Test,4,0.74,7,0.16,0,0.0,23,1,20.7,2.7
115,2025-01-31,México,Online,Control,1,1.26,1,0.1,0,0.0,22,3,3.3,2.2
116,2025-02-19,Perú,Online,UX Test,2,1.31,3,0.13,0,0.0,21,1,74.6,2.5
117,2025-02-21,Chile,Online,Control,3,0.39,4,0.11,0,0.0,22,4,46.0,2.5
118,2025-02-16,Chile,Online,Control,4,2.5,4,0.11,0,0.0,13,3,44.7,2.8
119,2025-01-01,México,Online,Discount Test,5,1.66,6,0.16,0,0.0,17,3,146.9,2.5
120,2025-03-29,México,Online,UX Test,5,3.53,4,0.14,1,52.01,17,1,0.4,2.9
121,2025-03-22,Colombia,Online,Discount Test,2,1.99,3,0.15,0,0.0,21,3,61.9,2.4
122,2025-01-19,Perú,Online,Control,4,4.85,0,0.11,0,0.0,30,5,15.6,2.5
123,2025-01-27,Chile,Marketplace,UX Test,2,0.83,5,0.13,0,0.0,17,3,39.1,2.4
124,2025-02-16,Perú,Online,Discount Test,3,0.08,2,0.16,0,0.0,14,0,29.7,2.4
125,2025-03-22,Perú,Online,Control,3,0.8,5,0.11,0,0.0,21,2,17.9,2.4
126,2025-03-29,Chile,Online,Control,5,1.86,7,0.11,0,0.0,24,3,3.9,2.7
127,2025-01-23,Chile,Online,Control,3,0.6,4,0.11,0,0.0,25,3,48.6,2.4
128,2025-02-20,México,Online,Control,8,3.99,7,0.12,0,0.0,31,5,77.2,2.7
129,2025-03-13,Chile,Retail,Control,5,1.03,3,0.11,0,0.0,17,3,9.7,2.9
130,2025-02-05,Colombia,Retail,Discount Test,9,0.23,7,0.17,0,0.0,24,0,1.2,2.5
131,2025-03-07,Chile,Marketplace,Control,6,7.24,3,0.11,0,0.0,21,2,16.6,2.6
132,2025-01-15,Perú,Marketplace,Discount Test,4,5.21,5,0.16,0,0.0,20,1,87.3,2.7
133,2025-02-23,Chile,Online,Discount Test,4,0.15,2,0.16,0,0.0,18,1,38.5,3.1
134,2025-03-19,Colombia,Marketplace,Discount Test,8,0.62,8,0.17,0,0.0,22,3,5.6,2.5
135,2025-03-29,Chile,Online,Control,5,1.29,3,0.11,0,0.0,18,2,0.0,2.6
136,2025-01-08,Chile,Online,Control,1,2.82,1,0.1,0,0.0,20,0,58.2,2.5
137,2025-02-08,Chile,Retail,UX Test,6,1.52,4,0.14,0,0.0,21,1,52.8,2.6
138,2025-01-19,Colombia,Marketplace,UX Test,3,5.81,4,0.14,0,0.0,16,1,58.1,2.2
139,2025-02-10,Chile,Retail,Discount Test,2,4.89,4,0.15,0,0.0,17,2,35.3,2.8
140,2025-02-18,México,Marketplace,Control,2,1.55,2,0.1,0,0.0,18,3,8.6,2.3
141,2025-01-09,Perú,Marketplace,Discount Test,5,3.31,5,0.16,0,0.0,19,0,10.3,2.6
142,2025-01-27,Colombia,Marketplace,Control,3,2.35,2,0.11,0,0.0,13,3,26.7,2.4
143,2025-03-24,México,Online,UX Test,3,0.17,2,0.14,0,0.0,31,4,21.1,2.6
144,2025-02-20,Perú,Online,Discount Test,7,9.2,7,0.16,0,0.0,22,4,12.6,2.8
145,2025-02-10,Colombia,Online,UX Test,5,0.87,6,0.14,0,0.0,17,0,47.5,2.6
146,2025-03-09,Chile,Marketplace,UX Test,11,0.55,11,0.15,0,0.0,19,4,9.0,2.7
147,2025-03-08,México,Retail,UX Test,6,9.53,4,0.14,0,0.0,22,2,0.6,2.7
148,2025-01-05,México,Online,Control,9,0.87,10,0.12,0,0.0,16,0,80.5,2.2
149,2025-03-05,México,Online,UX Test,4,2.47,1,0.14,0,0.0,15,2,27.4,2.7
150,2025-03-16,Chile,Online,Discount Test,4,8.72,2,0.16,1,62.85,16,2,59.2,2.3
151,2025-01-15,Chile,Retail,Discount Test,4,6.07,3,0.16,0,0.0,16,3,28.3,2.7
152,2025-03-11,México,Online,Control,7,1.44,5,0.11,0,0.0,24,2,59.9,2.8
153,2025-01-26,Chile,Online,Control,6,1.67,7,0.11,0,0.0,12,1,4.6,3.3
154,2025-01-28,Chile,Marketplace,Discount Test,7,1.82,7,0.16,0,0.0,20,1,20.1,2.6
155,2025-03-01,México,Online,UX Test,7,0.75,3,0.14,0,0.0,25,3,8.7,2.2
156,2025-01-10,Colombia,Marketplace,Discount Test,7,3.44,2,0.16,0,0.0,20,3,12.6,2.7
157,2025-03-01,Chile,Online,Control,16,0.65,14,0.13,0,0.0,25,4,46.6,2.6
158,2025-03-21,México,Marketplace,UX Test,4,4.96,2,0.14,0,0.0,16,1,5.9,2.8
159,2025-03-03,Chile,Online,Discount Test,2,6.46,0,0.15,0,0.0,21,0,8.0,2.2
160,2025-02-09,México,Online,UX Test,6,0.1,4,0.14,0,0.0,9,1,26.8,2.6
161,2025-02-09,Perú,Marketplace,Control,6,0.39,3,0.11,0,0.0,23,3,94.3,2.6
162,2025-03-10,México,Online,UX Test,3,0.03,6,0.14,0,0.0,16,2,3.2,2.8
163,2025-02-20,Perú,Online,Discount Test,4,3.34,3,0.16,0,0.0,24,4,66.5,2.4
164,2025-01-08,Perú,Marketplace,Control,3,4.04,4,0.11,0,0.0,17,2,18.3,2.6
165,2025-02-21,México,Retail,Discount Test,5,0.38,3,0.16,0,0.0,20,0,13.3,2.7
166,2025-03-14,Colombia,Online,Control,8,2.6,7,0.12,0,0.0,23,3,16.0,2.7
167,2025-01-30,Perú,Online,UX Test,7,1.22,8,0.14,0,0.0,18,3,3.9,2.6
168,2025-03-24,Chile,Retail,Control,5,0.13,1,0.11,0,0.0,18,3,8.5,3.0
169,2025-03-08,Perú,Marketplace,UX Test,4,2.72,4,0.14,0,0.0,19,3,0.3,2.7
170,2025-02-21,Perú,Online,Discount Test,4,11.25,6,0.16,0,0.0,21,3,90.9,2.7
171,2025-03-08,Chile,Marketplace,UX Test,3,1.91,3,0.14,0,0.0,21,2,27.1,2.8
172,2025-01-08,Perú,Online,Control,2,5.18,0,0.1,0,0.0,21,1,24.5,3.0
173,2025-03-18,Perú,Marketplace,Discount Test,8,0.04,7,0.17,0,0.0,19,0,34.6,2.7
174,2025-03-15,México,Online,Control,3,1.5,4,0.11,0,0.0,16,0,88.6,2.3
175,2025-03-22,Colombia,Retail,Control,9,0.71,7,0.12,0,0.0,20,3,1.2,2.5
176,2025-01-12,Chile,Online,Control,5,0.46,7,0.11,0,0.0,28,2,20.2,2.4
177,2025-01-08,Chile,Retail,UX Test,3,2.34,3,0.14,0,0.0,23,1,38.8,2.6
178,2025-01-13,Colombia,Retail,UX Test,6,2.45,7,0.14,1,31.73,14,0,7.1,2.6
179,2025-02-05,Chile,Online,Control,7,5.24,3,0.11,0,0.0,14,1,29.1,2.9
180,2025-02-07,Perú,Online,Discount Test,6,11.57,5,0.16,0,0.0,16,2,9.4,2.5
181,2025-02-20,México,Marketplace,Discount Test,4,2.74,6,0.16,0,0.0,15,0,19.7,2.5
182,2025-01-11,Perú,Online,Discount Test,5,2.95,0,0.16,0,0.0,16,1,21.8,3.1
183,2025-01-18,México,Retail,UX Test,3,2.89,4,0.14,0,0.0,21,1,44.4,2.4
184,2025-03-14,Colombia,Online,Discount Test,5,1.07,7,0.16,0,0.0,20,2,9.7,2.3
185,2025-02-11,Colombia,Online,UX Test,4,1.65,4,0.14,0,0.0,16,2,16.9,2.6
186,2025-03-13,Chile,Online,Discount Test,3,0.99,0,0.16,0,0.0,20,2,29.7,2.1
187,2025-01-01,Colombia,Online,Control,2,2.75,5,0.1,0,0.0,23,4,22.3,2.8
188,2025-02-19,México,Marketplace,Discount Test,5,0.23,7,0.16,0,0.0,18,2,26.9,2.5
189,2025-03-24,Perú,Marketplace,Discount Test,8,4.23,8,0.17,0,0.0,31,1,32.4,2.5
190,2025-02-21,Chile,Retail,Control,5,1.63,7,0.11,0,0.0,22,2,17.5,2.7
191,2025-01-19,Colombia,Marketplace,Control,5,3.45,5,0.11,1,43.04,18,2,3.9,2.5
192,2025-03-05,Perú,Retail,Control,4,0.88,5,0.11,0,0.0,18,2,47.9,2.6
193,2025-02-03,Perú,Online,Control,5,1.94,2,0.11,0,0.0,22,3,15.0,2.4
194,2025-03-01,Chile,Marketplace,UX Test,6,3.25,6,0.14,0,0.0,20,3,10.0,2.9
195,2025-01-03,Colombia,Marketplace,Control,1,2.57,1,0.1,0,0.0,17,0,28.1,2.8
196,2025-02-26,Perú,Online,Control,3,0.74,6,0.11,0,0.0,17,0,28.4,2.5
197,2025-01-03,Perú,Retail,Discount Test,3,1.02,6,0.16,0,0.0,20,1,24.9,3.0
198,2025-03-08,Perú,Retail,Discount Test,7,0.92,6,0.16,1,65.44,14,1,18.2,2.6
199,2025-02-12,Chile,Retail,Control,11,2.16,8,0.12,0,0.0,29,4,16.5,2.0
200,2025-01-11,México,Retail,UX Test,6,2.58,5,0.14,0,0.0,14,4,20.2,3.1
201,2025-02-18,Chile,Retail,Discount Test,5,0.82,4,0.16,0,0.0,23,1,11.3,2.4
202,2025-01-06,México,Marketplace,Control,4,1.74,3,0.11,0,0.0,30,1,30.3,2.7
203,2025-02-28,Colombia,Online,UX Test,4,1.34,0,0.14,0,0.0,9,3,54.5,3.1
204,2025-03-30,Colombia,Retail,Discount Test,6,0.78,6,0.16,1,72.67,19,3,8.1,2.6
205,2025-03-10,México,Online,UX Test,3,0.55,3,0.14,0,0.0,30,4,113.1,1.9
206,2025-02-21,México,Retail,UX Test,3,0.22,2,0.14,0,0.0,24,3,22.1,2.8
207,2025-01-10,Chile,Marketplace,Discount Test,4,3.85,2,0.16,0,0.0,17,0,12.9,2.5
208,2025-03-04,Perú,Retail,Control,4,6.09,5,0.11,0,0.0,24,3,14.6,2.4
209,2025-02-28,Colombia,Retail,Discount Test,6,2.37,6,0.16,0,0.0,26,2,59.5,2.8
210,2025-01-05,Chile,Online,Discount Test,4,0.74,4,0.16,0,0.0,28,5,50.0,2.7
211,2025-03-12,Colombia,Marketplace,Discount Test,4,1.71,6,0.16,0,0.0,17,3,21.2,2.1
212,2025-02-16,México,Online,UX Test,8,1.94,6,0.15,1,48.01,12,0,33.6,2.8
213,2025-02-07,México,Marketplace,Control,4,4.04,0,0.11,0,0.0,17,3,1.0,3.0
214,2025-03-12,Chile,Marketplace,Control,4,4.33,4,0.11,1,35.13,21,0,50.2,2.5
215,2025-02-06,México,Online,Control,5,3.21,4,0.11,0,0.0,28,4,21.6,2.7
216,2025-02-12,Chile,Retail,Discount Test,9,8.29,7,0.17,1,67.81,20,2,18.9,2.5
217,2025-01-17,Chile,Online,UX Test,5,1.12,4,0.14,0,0.0,33,3,27.0,2.7
218,2025-01-29,Perú,Marketplace,Discount Test,3,3.25,2,0.16,0,0.0,15,1,7.4,2.4
219,2025-03-17,Perú,Online,UX Test,3,7.63,0,0.14,0,0.0,23,3,66.2,2.1
220,2025-01-17,Perú,Online,Control,3,4.87,5,0.11,0,0.0,17,0,7.0,2.3
221,2025-02-07,México,Marketplace,Control,5,0.55,3,0.11,0,0.0,23,2,50.0,2.8
222,2025-03-30,Colombia,Online,Discount Test,3,1.34,6,0.16,1,68.69,23,1,0.4,2.6
223,2025-01-22,Colombia,Online,UX Test,4,6.79,5,0.14,1,57.25,21,4,22.9,2.5
224,2025-03-23,Perú,Online,Control,1,10.55,3,0.1,0,0.0,21,2,28.0,2.5
225,2025-03-23,Perú,Retail,Control,3,4.74,0,0.11,0,0.0,26,2,3.4,2.6
226,2025-01-09,Colombia,Retail,Control,5,0.53,7,0.11,1,58.45,19,1,45.8,2.7
227,2025-02-11,México,Online,Discount Test,10,4.0,10,0.17,0,0.0,15,0,35.3,2.8
228,2025-02-14,Perú,Retail,Discount Test,6,0.73,5,0.16,0,0.0,18,1,13.9,2.5
229,2025-01-28,México,Online,Discount Test,3,0.84,4,0.16,0,0.0,21,1,33.6,2.7
230,2025-01-05,México,Marketplace,UX Test,6,1.68,6,0.14,0,0.0,19,1,3.7,2.7
231,2025-01-22,México,Retail,Control,6,5.53,10,0.11,0,0.0,18,2,13.0,2.5
232,2025-01-09,Colombia,Online,UX Test,5,3.27,2,0.14,0,0.0,23,4,25.0,2.6
233,2025-01-22,Colombia,Online,Discount Test,6,1.95,6,0.16,0,0.0,28,4,40.7,2.1
234,2025-03-13,México,Online,Control,3,3.8,2,0.11,0,0.0,13,1,14.2,2.4
235,2025-03-21,Chile,Retail,Control,5,1.32,6,0.11,0,0.0,11,2,71.4,2.7
236,2025-01-04,Colombia,Retail,Discount Test,7,2.22,10,0.16,0,0.0,23,1,24.4,2.5
237,2025-01-27,Chile,Marketplace,Discount Test,7,3.79,5,0.16,0,0.0,21,0,42.7,2.5
238,2025-03-29,México,Online,Discount Test,3,1.07,3,0.16,0,0.0,14,1,44.5,2.4
239,2025-02-18,Colombia,Online,Control,5,2.84,1,0.11,1,49.88,23,3,5.3,2.2
240,2025-02-25,México,Retail,Control,2,2.49,1,0.1,0,0.0,22,1,16.2,2.7
241,2025-01-01,Colombia,Online,UX Test,5,1.64,4,0.14,0,0.0,23,1,30.2,2.4
242,2025-02-13,Perú,Retail,Discount Test,0,0.58,0,0.15,0,0.0,22,3,23.7,2.3
243,2025-03-29,Perú,Retail,Discount Test,5,1.32,5,0.16,0,0.0,23,4,13.9,2.6
244,2025-02-03,Chile,Online,Discount Test,10,4.43,9,0.17,0,0.0,11,1,4.6,2.5
245,2025-01-09,México,Online,UX Test,5,0.87,5,0.14,0,0.0,19,1,20.9,2.9
246,2025-02-11,Chile,Online,UX Test,4,0.76,3,0.14,0,0.0,17,1,168.4,2.8
247,2025-03-27,México,Marketplace,Control,4,0.67,1,0.11,0,0.0,14,2,40.3,2.8
248,2025-01-31,México,Marketplace,UX Test,6,4.31,6,0.14,0,0.0,23,2,38.2,2.6
249,2025-03-13,México,Marketplace,Control,9,2.16,7,0.12,0,0.0,19,1,11.7,2.2
250,2025-03-13,Perú,Online,Control,10,2.51,13,0.12,0,0.0,23,1,7.1,2.6
251,2025-01-19,Chile,Online,Discount Test,8,1.3,6,0.17,1,57.64,22,3,30.8,2.7
252,2025-02-09,Perú,Online,UX Test,3,5.29,3,0.14,0,0.0,14,2,24.5,2.3
253,2025-03-05,Perú,Online,UX Test,4,0.67,0,0.14,0,0.0,22,2,28.4,2.4
254,2025-02-06,Perú,Marketplace,Control,11,3.61,6,0.12,0,0.0,16,2,2.1,2.5
255,2025-01-17,Perú,Retail,Control,6,4.43,5,0.11,0,0.0,13,1,27.8,2.9
256,2025-03-28,Perú,Online,Control,6,1.97,3,0.11,0,0.0,22,2,70.0,2.7
257,2025-02-27,México,Retail,Control,2,1.93,1,0.1,0,0.0,25,0,23.7,2.5
258,2025-03-19,Perú,Online,UX Test,6,3.28,8,0.14,0,0.0,12,1,32.4,2.7
259,2025-01-03,México,Marketplace,Discount Test,3,0.07,7,0.16,0,0.0,22,2,9.3,2.7
260,2025-01-24,Colombia,Online,Discount Test,5,1.19,5,0.16,0,0.0,26,4,14.8,2.4
261,2025-02-14,Colombia,Online,Control,7,0.66,5,0.11,1,78.86,16,0,16.7,2.6
262,2025-01-07,Colombia,Online,UX Test,6,2.18,2,0.14,0,0.0,21,2,24.0,2.4
263,2025-03-30,Colombia,Marketplace,Control,6,0.28,7,0.11,1,42.38,22,2,30.3,2.5
264,2025-01-22,México,Online,Discount Test,3,4.05,6,0.16,1,64.66,21,3,2.0,2.1
265,2025-02-03,Chile,Retail,Control,4,3.55,3,0.11,0,0.0,23,6,22.3,2.1
266,2025-01-20,Chile,Marketplace,Discount Test,4,0.1,4,0.16,0,0.0,24,1,2.5,2.4
267,2025-01-10,Perú,Marketplace,Control,7,1.22,5,0.11,0,0.0,19,0,16.6,3.0
268,2025-01-21,Chile,Online,UX Test,5,10.19,9,0.14,0,0.0,18,1,41.1,2.2
269,2025-01-27,Chile,Online,Discount Test,8,1.16,7,0.17,0,0.0,10,0,39.7,2.7
270,2025-02-26,Perú,Online,Control,7,0.21,8,0.11,0,0.0,18,2,42.6,2.4
271,2025-01-26,Chile,Online,Discount Test,2,1.2,1,0.15,1,68.68,20,2,11.2,2.0
